Week Number,Username,Rank,Wins,Wins in First 25,Counted Wins,Core Rare,Core Epic,Core Legendary,Trial Rare,Trial Epic,Trial Legendary
50,Mirage88,12,76,22,22,0,0,3,1,0,2
50,Wezz,12,31,21,21,0,0,2,1,2,1
50,Ayo,12,30,21,21,0,0,2,1,2,1
50,[tst]cautionfun,12,45,21,21,0,0,2,1,2,1
50,rl958,12,21,20,20,0,1,1,1,1,1
50,The38th,12,30,20,20,0,1,1,2,1,1
50,ゆかり,12,22,20,20,0,1,1,1,1,1
50,Ἄρης,12,30,20,20,0,1,1,2,1,1
50,Cryptolemon,11,20,19,19,0,2,1,0,2,0
50,[tst] Freedan,12,23,19,19,0,2,1,0,2,0
50,あ,12,19,19,19,0,2,1,0,2,0
50,[Mythic] Dragonstorm,12,37,19,19,0,2,1,1,2,0
50,[Mythic] revan,12,30,19,19,0,2,1,1,2,0
50,TheNachoSamurai,12,33,19,19,0,2,1,1,2,0
50,Gandalf,12,32,19,19,0,2,1,1,2,0
50,roytutu,10,35,20,19,0,2,1,1,2,0
50,Apollo,12,23,18,18,0,3,0,0,2,0
50,fluffyhag,9,18,18,18,0,3,0,0,2,0
50,TREY,12,32,18,18,0,3,0,1,2,0
50,[tst]themudman,12,30,18,18,0,3,0,1,2,0
50,Sankhara,10,27,18,18,0,3,0,0,2,0
50,superman313,9,21,19,18,0,3,0,0,2,0
50,Wasper,9,21,20,18,0,3,0,0,2,0
50,channnnn,10,18,18,18,0,3,0,0,2,0
50,GUDecks.com,12,30,18,18,0,3,0,1,2,0
50,ScrMcDuck,9,18,18,18,0,3,0,0,2,0
50,zlaxor,12,18,18,18,0,3,0,0,2,0
50,ногоонзалуу,12,18,18,18,0,3,0,0,2,0
50,SneezyDwarf,9,24,18,18,0,3,0,0,2,0
50,Androssi,9,18,18,18,0,3,0,0,2,0
50,Fantomasek,12,39,18,18,0,3,0,1,2,0
50,Ares,9,34,17,17,1,2,0,1,2,0
50,Demolisher,8,18,18,17,1,2,0,0,2,0
50,Moonpig,11,17,17,17,1,2,0,0,2,0
50,V-Hirvi,12,32,17,17,1,2,0,1,2,0
50,superslim,8,65,19,17,1,2,0,1,2,0
50,SLIB,8,19,17,17,1,2,0,0,2,0
50,Zorian,8,17,17,17,1,2,0,0,2,0
50,XSITE,9,24,17,17,1,2,0,0,2,0
50,0x7d31apuz,9,51,17,17,1,2,0,1,2,0
50,smirnawf,8,17,17,17,1,2,0,0,2,0
50,Drummerboyj,9,17,17,17,1,2,0,0,2,0
50,Cerne,12,17,17,17,1,2,0,0,2,0
50,raz0r,8,18,18,17,1,2,0,0,2,0
50,verbalshadow,9,19,17,17,1,2,0,0,2,0
50,slivenec,8,24,18,17,1,2,0,0,2,0
50,Galragg,8,17,17,17,1,2,0,0,2,0
50,Lysander,12,27,17,17,1,2,0,0,2,0
50,BasVanSpanker,10,19,17,17,1,2,0,0,2,0
50,Tiannizu,8,16,16,16,0,3,0,1,1,0
50,X Æ A-12,9,16,16,16,0,3,0,1,1,0
50,sensebe,10,28,16,16,0,3,0,1,1,0
50,Krumpy Lumpkins,12,41,16,16,0,3,0,2,1,0
50,gohm,8,16,16,16,0,3,0,1,1,0
50,carebear,11,16,16,16,0,3,0,1,1,0
50,Hypnotic,7,16,16,16,0,3,0,1,1,0
50,PooNaniHunter,8,16,16,16,0,3,0,1,1,0
50,LCHammer,12,24,16,16,0,3,0,1,1,0
50,☺,7,54,20,16,0,3,0,2,1,0
50,War69,8,16,16,16,0,3,0,1,1,0
